CERTIFICATIONID,DESCRIPTION,JUSTICE
"116,889",123 Precinct Community Council National Night Out Against Crime,140
"116,889",Boy Scouts Venture Crew,477
"116,889",Camelot Drug Counseling Centers,"3,350"
"116,889",Catholic Charities Summer Camp ,"7,475"
"116,889",Children's Aid Society Summer Camp,"1,580"
"116,889",Circle of Love Prison Support Group,564
"116,889",College of Staten Island Foundation Mentoring Program,"1,047"
"116,889",Jewish Community Center,100
"116,889",NYC Junior Golf,400
"116,889",SI Mental Health ,"4,829"
"116,889",Staten Island Mall Shoplifting Prevention Ad Campaign ,"4,172"
"116,889",Staten Island YMCA Drug Counseling,"3,000"
"116,889",Where to Turn,"3,000"
"116,866",Fayette County Recreation Department,300
"116,762",ACVS (Arizona Coalition for Victim Services),"5,225"
"116,762",Fax Net 1 ,"9,600"
"116,762",Partnership for a Drug-Free America ,"10,000"
"116,715",CrimeStoppers,"5,000"
"116,709","Hector, Pottsville, Dover High Schools-- Facing the Dragon(Meth Awareness Program)","2,000"
"116,709",Pope County Sheriff's Office--National Mailboxes--(Program to put unwanted Prescription Drugs no longer needed,"1,282"
"116,708",Lafourche Parish Drug Court and Dare Program,"7,312"
"116,700",Youth Boxing program,"5,000"
"116,682",GOODWELL PUBLIC SCHOOLS,668
"116,662",Haverhill Boys & Girls Club,"1,593"
"116,648",DEA Educational Foundation: Targeting America: Opening Eyes to the damage drugs cause,"5,000"
"116,571",Donation to the National Law Enforcement Museum,500
"116,565",Mendocino County Health & Human Services G.R.I.P. Program,"10,000"
"116,565",Ukiah High School,215
"116,446",Boys & Girls Club of C C/Rent on Classrooms for New Programs,"2,500"
"116,446",C C Emergency Shelter/Educational Materials for Victims of Domestic Violence & Children Comprehension Program,"1,000"
"116,418",Support of Drug Free Youth Programs and Activities for area Schools and Nonprofit groups.,"5,015"
"116,376","PAL, Run-A-Thon, Police Explorer post","15,046"
"116,358",COPS Program,"2,261"
"116,358",Citizens Academy,"18,512"
"116,282",Kanopy for Community programs,"1,509"
"116,278",glow bracelets,831
"116,148",DARE Program,"4,004"
"116,148",Employee Business Cards,612
"116,148",Massena Police Service Awards - Police Chaplain,864
"116,148",Neighborhood Watch Program,98
"116,144",National Law Enforcement Officers Memorial Fund,"35,000"
"115,998",McLean County Grade School,678
"115,997",DRUG FREE WEEK,"4,179"
"115,981","Elizabeth Police Block-Watch Groups, Crime Prevention Programs, and DARE expenses","20,362"
"115,891",Hagerstown Suns,"36,000"
"115,875",CONTRIBUTION DEPARTMENT OF SOCIAL SERVICES YOUTH DAY,217
"115,875",ESTILL HIGH SCHOOL YOUTH SUMMIT,150
"115,875",LAKE WARREN STATE PARK LITTLE BUDDIES FISHING TOURNAMENT,200
"115,875",MCDONALDS SEATBELT SAFETY PROGRAM,50
"115,875",RELAY FOR LIFE,192
"115,875",SPONSOR HAMPTON/VARNVILLE YOUTH SOFTBALL,500
"115,875",SPONSORSHIP ESTILL HS SENIOR PARENT ADVISORY,250
"115,820",Crime Prevention Middle School Program ,"1,402"
"115,791",Advertising campaign to promote drug and alcohol prevention during the high school prom season. Commercials played on WFXB Television Station.,800
"115,511",Safe Assured LLC,"4,000"
"115,315",Flowers For Students Who Successfully Completed D.A.R.E. Program,120
"115,292",Citizen Police Academy,"4,853"
"115,284","PACT Camp, Community Policing & Police Cadet Program","2,198"
"115,278",KID SUPPORT PROGRAMS,"2,500"
"115,242",Rockdale School (Dare Program),180
"115,226",Lakeside Center,"15,600"
"115,148",Do the Right Thing Foundation,"1,000"
"115,136",Josephine County Treatment Foundation (Drug Court),"1,250"
"115,084",COMMUNITY YOUTH CENTER,"1,000"
"115,016",DRUG EDUCATION PROGRAM,931
"114,978",Minute Man Youth Camp:  Purchase T-Shrit uniform that include an anti-drug message for campers and support staff.  The camp incorporates a strong anti-drug education nexus.,"2,969"
"114,718","D.A.R.E. Program, administered by Lansing Police Department","7,732"
"114,620",Do The Right Thing program,500
"114,620",St. Louis Crimestoppers,500
"114,604",Dare Program,"1,050"
"114,566",Central Penn Midget Allstars,500
"114,566",New Beginnings Summer Enrichment,500
"114,554",RIVER VALLEY METH PROJECT,"1,100"
"114,451",D.A.R.E.,"4,963"
"114,384",Child ID kits for the community,418
"114,384",Retirement plaque for Captain Haun - 25 years of service,101
"114,384",Safe and Sober Prom Night Pledge to Public High Schools Program,"1,000"
"114,384",Victim Center Annual Breakfast Fundraiser,320
"114,042",Boone County Special Olympics,250
"113,986",DARE Westerville,"20,602"
"113,902",Fun Services (National Night Out),"1,300"
"113,902",National Assoc. of Town Watch/National Night Out,568
"113,783",Drug Abuse Resistance Education,"1,000"
"113,441",Angie's (Range Qualification),463
"113,441","Cavalier Trail Leasing, LLC (Community bus storage)","5,900"
"113,441",Gionino's (Safety Town graduation),84
"113,441",Pronio Sports (Community Policing),"2,028"
"113,441",Sparkles the clown ( Easter community party,225
"113,441",Treasurer of the State (FEMA Trailer),320
"113,389",Glassboro Neighborhood Watch Program,500
"113,389",Silver Lake Association - Neighborhood Watch Program,500
"113,389",South Harrison Neighborhood Watch Program,500
"113,389",West Deptford Neighborhood Watch Program,500
"113,389",Westville Neighborhood Watch Program,500
"113,299",Phelps County Anti-Drug Committee,"3,745"
"113,299","Phelps County Schools (DARE, Red Ribbon Week, etc.)","8,425"
"113,113",Phelps County Anti Drug Committee,"13,425"
"113,113",St. James R1 School District - Drug Awareness Program,"1,250"
"113,083",Boulder County Restorative Justice Collaboration,500
"113,083",Boulder Homeless Shelter,"1,000"
"113,083",Boulder/Fairview High Schools After Prom,"2,500"
"113,083",Family Learning Center,"5,000"
"113,063",Drug Enforcement Education Fund,"2,804"
"113,022",VOCA,"3,595"
"112,987",Greene County D.A.R.E. Program,100
"112,987",Integrated Youth Services,"4,118"
"112,987",KIDS Identification Program,134
"112,987",Michael's House Child Advocacy Center,"24,000"
"112,987",Yellow Springs High School,"1,853"
"112,929",SCORE ,233
"112,929",Sedgwick County Law Camp,66
"112,929",United Way,384
"112,927",Xenia DARE Program,"72,950"
"112,927",Xenia Safety City,154
"112,922",Waukesha County District Attorney's Office (Support of Crime Stoppers),"5,000"
"112,916",Glenwood Springs High School,500
"112,916",Project Graduation,500
"112,916",Rifle High School,500
"112,892",Jonesboro Bowling Center (for Craighead County Drug Court Graduation),350
"112,852",2009 Assessment to support Crime Stoppers of Puget Sound,"3,264"
"112,845",Community Health Investment Program,"1,000"
"112,822",Babylon Village,"22,000"
"112,822",Child Abuse Protection Services,"20,001"
"112,822",Cleary School for the Deaf,"10,000"
"112,822",Council For Unity,"1,508"
"112,822",Mothers Against Drunk Driving,"16,150"
"112,822",Parents for Megan's Law,"12,593"
"112,822",Suffolk County Police Athletic League,"29,231"
"112,812","Boys and Girls Club of Rochester, Inc.","18,235"
"112,798","National law Enforcement Officer Memorial Fund, Donation",500
"112,798","Niagara Falls Block Club, Crime Night Out","1,500"
"112,798","Woodlands Community Watch, Block Club",300
"112,773",Macon Regional Crimestoppers,250
"112,705",Crime Prevention and Neighborhood Watch Programs,"6,880"
"112,697",Childrens Medical Center (Michaels House),"12,000"
"112,667",National Law Enforcement Museum,"3,000"
"112,656",CHRIST LUTHERAN CHURCH OF UPPER DARBY,"11,000"
"112,656",CITIZEN'S CRIME COMMISSION OF PA,"13,500"
"112,656",CITYTEAM MINISTRIES OF SEPA,"1,000"
"112,656",CRADLE OF LIBERTY COUNCIL,"7,500"
"112,656",GREATER PHILADELPHIA SEARCH AND RESCUE,"1,000"
"112,656",PARENTS OF MURDERED CHILDREN,350
"112,656",THE INSTITUTE FOR ADVANCEMENT OF WOMEN IN LAW ENFORCEMENT,"5,000"
"112,656",THRESHOLDS IN DELAWARE COUNTY,"1,500"
"112,656",UPPER DARBY PA POLICE ATHLETIC LEAGUE,"3,000"
"112,595",Milwaukee Fire Bell - contribution for Mobile Restroom Unit,"1,000"
"112,563","junction independent school district, chamber of commerce, junction youth softball and baseball, drug free awareness logo shirts, red ribbon","7,447"
"112,544",Crown Point Central School & B.E.S.T. Program,"7,856"
"112,539","D.A.R.E.    JC Boys & Girls Club             $62,000                  JC Recreation Foundation $13,100","75,100"
"112,505",Youth Coalition,"5,000"
"112,474",Drug Education and Awareness,716
"112,403",Community Mediation Concepts,"5,425"
"112,389",Cardinal Stritch Safe Graduation '09,300
"112,389",Clay High School Operation Graduation,300
"112,389",CrimeStoppers,"4,000"
"112,389",D.A.R.E. program T-shirts and supplies,"3,591"
"112,386","MOSELF, PCCD DMC Group, NGOZI Inc.","4,847"
"112,325",ABBA Leadership,"18,007"
"112,325",Leadership Training Institute,"9,385"
"112,325","MADD-Long Island, NY",720
"112,325",Molloy College,"23,805"
"112,325",NAACP,985
"112,325",National Mentoring Partnership,"1,500"
"112,291",Drug Awareness Education for third grade students in Warren County,483
"112,264",Drug Awareness Program (NEORVCA),500
"112,237","Area schools, DARE tee shirts","1,748"
"112,233",STATELINE COMMUNITY FOUNDATION-CHARACTER COUNTS,"1,500"
"112,218",Ohio Crime Prevention Association,100
"112,218",Toledo Mud Hens Crime Prevention Program,"5,000"
"112,163",MALONE CENTRAL SCHOOL,"1,533"
"112,073",Greater Shiloh Church for a Summer Youth Co-ed Basketball Program 11-13yoa,"1,500"
"112,051",Foundations for Franklin County,"3,660"
"111,996",Idittarod - Education and Awareness  - Mentor/Teacher on the Trail ,"25,000"
"111,973",Do the Right Thing/Harrison Cultural Center,600
"111,953",Watervliet Housing Authority Resident Refurbished Computer Program,"1,440"
"111,905",Drug Awareness and Education ,"6,246"
"111,797",Red Ribbon Rally for Youth Drug Awareness,500
"111,782",Sebastian County Drug Court,111
"111,698",Bike Patrol equipment,710
"111,698",Blockwatch Programs,511
"111,698",Car seats for transporting children,173
"111,698",Safety town t shirts,550
"111,698","Sticker badges for crime prevention unit (school tours, etc.)",645
"111,677",City of Livonia-Emergency Service Program,"13,404"
"111,596",LANCASTER COUNTY ADULT DRUG COURT,990
"111,559","Crime Line ""Kicks for Guns"" program.  Purchasing guns from individuals for $50 each.","3,750"
"111,473",Manitowoc Crime Prevention committee,"2,960"
"111,368",Community Service Media - Public Service Video - Lil Car  Meth,"10,000"
"111,366",Victory Christian Church (Pastor Charlie Muller),"27,600"
"111,327",Lake City Police Department- Embassey Suites-Travel/Training for Officer Wynn to attend Crime Prevention Course in Altamonte Springs,460
"111,327",Lake City Police Department- Embassy Suites-Travel/Training for Officer Wynn to attend CPTED Course ,267
"111,327",Lake City Police Department- Per Diem for Officer Wynn to attend CPTED Course,112
"111,327",Lake City Police Department- Per Diem for Officer Wynn to attend Crime Prevention Course in Altamonte Springs,168
"111,327",Lake City Police Department- Tuition for Officer Wynn to attend CPTED Course,295
"111,327",Lake City Police Department- Tuition for Officer Wynn to attend Crime Prevention Course in Altamonte Springs,375
"111,309",Community gun buy back program,"1,450"
"111,264",MDA,200
"111,264",Toys for Tots,"1,000"
"111,253",Darren Devereux - Reimbursement for Recreation Dept Equipment for Greene Co. Recreation Department,169
"111,253",Georgia Sheriffs' Association - CHAMPS Drug Awareness Instructor Training - Surgick & Thornton,460
"111,253",Greene County Recreation - After School Program Sponsorship,"1,200"
"111,253",Herald Journal - Invoice 20528 - Zero Tolerance Ad (Section 8 Para G),240
"111,253",T and H Transportation - Invoice 9187 After School Program Sponsorship - Greene Co. High School,"1,590"
"111,253",Videogram Productions - 50% Down Payment on Drug Awareness Video,"6,000"
"111,253",Videogram Productions - Remaining Balance on Drug Awareness Video,"6,000"
"111,253",Videogram Productions - Update Information on Drug Awareness Video,"2,680"
"111,178","Gavin Central Elementary School, Ingleside, IL.  Drug prevention program classes, grade 1-5, materials for each student focusing on drug prevention and awareness",250
"111,178","Gavin Junior High School, Ingleside, IL.  Drug prevention materials for the Red Ribbon week drug prevention program",250
"111,178","Lotus Elementary & Middle School, Spring Grove, IL.  Drug awareness activities, Red Ribbon week",500
"111,178","Miguel Juarez Middle School, Waukegan, IL.  Drug awareness program, educational materials for students aimed at drug awareness and prevention",250
"111,178","Southside Positive Youth Program, Waukegan, IL.  Summer time activities for children aimed at providing drug awareness and prevention ",300
"111,178","Stanton School, Fox Lake, IL.  Drug awareness and prevention program, Red Ribbon Week",250
"111,063",Behavioral Health Services North/ STOP Domestic Violence,"1,000"
"111,007",Rainbow Printing - Red Ribbon Week Calendars,605
"110,834",Child identification programs. Neighborhood block watch programs. Drug and alcohol awareness programs. Gun safety,"2,180"
"110,644",Plantation Athletic League,500
"110,553",BEAT THE HEAT MEDLEY CHAPTER VEHICLE PURCHASE,"15,000"
"110,445",Tarrant County Youth Association,"20,210"
"110,404",Shrine Bull Fest,"1,500"
"110,353",Refer to original report.,"12,043"
"110,347",Cabana Colony Youth Center,"10,544"
"110,289",A-Awesome Amusements Rides for Summer Fest,"4,200"
"110,289",Bleekers Food  Products Refreshments for Summer Fest,"1,187"
"110,289",Curb Appeal Zoo Rides for Summer Fest,695
"110,289",D.J Steve Makropoulos Music for Summer Fest,300
"110,289",Golf Enterprise Tees for Hook-a-Kid on Golf,25
"110,289",Golf Pro Chris VanderNaald Teaching and use of Golf Course for Hook-a-Kid on Golf,"2,870"
"110,289",National Alliance for Youth Sports  Golf Summer Program ,"1,078"
"110,289",Pappys Food  Hotdogs and buns for Summer Fest,800
"110,289",Quality Logo Products Advertisement for Summer Fest,894
"110,289",Richards Bicycles Kids Raffle for Summer Fest,500
"110,289",Sarah's Pony Rides for Summer Fest,650
"109,988",Cameron County Juvenile Justice Department (DEFY Camps),"54,273"
"109,842",BIKE PATROL COMMUNITY POLICING,"11,979"
"109,842",CADET EXPLORERS NATIONAL NIGHT OUT SUPPLIES,544
"109,816",Bike Rodeo ( 2 Bicycles ),174
"109,816",Citizens Academy,"1,444"
"109,816",DARE Program,"2,138"
"109,816",Secret Santa,66
"109,815",Palm Beach County Youth Court,"1,000"
"109,807",Shrine Bull Fest - Drug Free Ad Purchase,500
"109,806",Drug Free Youth in Town/Countywide High School based drug awareness program,"20,000"
"109,805",Gulfport Police Athletic League,"300,000"
"109,801",Florida Sheriff's Association (Teen Driving Challenge Program),194
"109,801",State of Florida Office of State Attorney (Community Softball Tournament),302
"109,790","3199 Other Professional Services-The Starting Place, Inc.  A referral outreach program for youth intervention, counseling and referral","1,670"
"109,779",Computer COP Predator Tracking Software distributed to Lake County,"5,200"
"109,779",DARE (vehicle items),"2,194"
"109,779",Explorers (new equipment),"19,658"
"109,779",Project Lifesaver (LoJack Tracking of Residents),"3,000"
"109,779",Thurgaland-LCSO Educational Video,"9,850"
"109,757",N.O.P.E. Program (program that educates students on prescription drug abuse ,"2,215"
"109,721",PCSO KID PRINT PROGRAM,"2,588"
"109,713",Drug Free Campaign,"9,544"
"109,691",Drug Free Campaign (Red Ribbon Week),"5,099"
"109,668",Seminole County Police - Explorer Academy tuition/instructor & advisor fees,"2,100"
"109,668",Wal-Mart - gun buy back gift cards,"9,700"
"109,650",Apopka Sports Youth Association,"1,500"
"109,649","Substance abuse educational programs (Alcohol impairment measures, Effects of drinking on teens, and tean and adult prescription drug forums.)","3,000"
"109,619",Fort Lauderdale High School,500
"109,619",Wilton Manors Elementary School,250
"109,607",3 Public Safety Guides public/private partnership for crime prevention in communities,"28,884"
"109,607",Police Athletic League computers for children's after school tutoring,132
"109,604",NATIONAL LAW ENFORCEMENT OFFICERS MEMORIAL FUND,"10,000"
"109,570",Gulfport Police Athletic League (PAL),"10,000"
"109,553",Explorers Program,"4,917"
"109,553",Pensacola Police Safety Programs-Public Service Announcements on Safety,"8,062"
"109,507",Boys and Girls Club,"25,000"
"109,507",Catholic Charities,"10,000"
"109,507",Dare Materials,"3,333"
"109,507",Homeless Emergency,"10,000"
"109,507",Pinellas Park High School,"5,000"
"109,507",Vincent House,"10,000"
"109,507",Westcare Gulfcoast,"10,000"
"109,481","DARE, GREAT programs","3,525"
"109,476",Amelia Island Museum of History,"16,772"
"109,454",Bonner County Drug Court,"5,000"
"109,435","Contributions to:  Crime Stoppers, Safety Council, Traffic Safety Committee, and Police Explorer programs","5,000"
"109,435","Crime prevention educational items to distribute during National Night Out, homeowners association meetings, neighborhood watch programs and select crime prevention efforts.","3,495"
"109,431","NATIONAL LAW ENFORCEMENT OFFICERS MEMORIAL FUND, INC","5,000"
"109,422",Corpus Christi Crime Stoppers,"3,700"
"109,422",Palmer Drug Abuse,"2,000"
"109,417","Drug Awareness, Resistance and Education (D.A.R.E. Program)","4,546"
"109,417",National Night Out/Safe Neighborhood Program,"10,826"
"109,388",Black on Black Crime Task Force,"2,945"
"109,313",ORA-06502: PL/SQL: numeric or value error: character string buffer too small,"25,050"
"109,275",Council On Substance Abuse,"6,865"
"109,275",Red Ribbon Campaign,"7,479"
"109,227","Baker County School System programs (cost of supplies, etc) DARE & SRO & JUST SAY NO","3,283"
"109,227",JUSTICE COALITION,500
"109,211",CITY OF SOUTH DAYTONA,"1,000"
"109,059",Bell Grove Missionary Baptist Church,"1,810"
"109,059",Partners in Learning / Cross-Cultural Connection,"3,236"
"109,053",Cops N Kids Youth Center (Partnership between YMCA and Police),"45,299"
"108,987",Stop the Violence T-shirts,500
"108,971","Florida Missing Children, MADD Awards Dinner, National Night Out Event/Supplies, Hurricane Conference, DARE Red Ribbon Day, DARE Movie Nights ","6,855"
"108,971","Marine Patrol Uniforms, DARE and PAAL Cellphones",618
"108,971","Motorcycle Lease, Community Policing Vehicle & Equipment","29,998"
"108,872",OKARNG Counterdrug Program Drug Demand Reduction,"1,390"
"108,711",Manatee Educational Drug Awareness Program,"1,500"
"108,711",Police Athletic League Sports Programs Reimbursement for Boxing (L.E. & Youth),"32,668"
"108,711",Project Connect Youth Basketball Program sponsored by Sheriff Office,"3,240"
"108,711","Resource Connection ""Holding Cell Program"" done at High Schools","1,800"
"108,685",Santa Rosa Kids House,"2,058"
"108,666",Farmers Branch Chamber of Commerce (Red Ribbon Week),400
"108,629",Farmington Youth Assistance,"1,500"
"108,597",Pinellas County Sheriff's Office Police Athletic League,"50,000"
"108,597",Pinellas Ed Foundation,"25,000"
"108,521",Talladega Co Schools for Teaching on Drug Awareness/Abuse & Violent Crimes,"1,416"
"108,477",Juvenile Crime/Drug Prevention Programs at Local Schools,"2,600"
"108,477",Kiwanis Club of Lauderhill - Eagles Program - Community Crime Prevention,"1,500"
"108,477",Sports Advancing Kids Education (SAKE) - Juvenile crime/drug prevention,"10,000"
"108,418",Boys & Girls Club,"1,125"
"108,418",Integrated Law and Justice Agency for Orange County,"4,365"
"108,418",OC Human Relations Committee,"1,536"
"108,264",Battle Scars Ministries,500
"108,264",Crime Stoppers,600
"108,264",Futures Foundation,"1,500"
"108,264",Stewart - Marchman Center,"2,000"
"108,126",Georgia International Law Enforcement Exchange,"10,000"
"108,083",D.A.R.E.,"1,226"
"108,029",D.A.R.E.- Police Explorers,"10,243"
"107,959",Lake City Police Department -FASRO Training ,500
"107,959",Lake City Police Department-Florida Crime Prevention Class- Drug Education,375
"107,959",Lake City Police Department-Florida Crime Prevention Class- Drug Education,375
"107,659", Anti Gang Program - Houston Park's gang tattoo removals ,"51,584"
"107,593",Cartersville Police Department Explorer Program,"1,720"
"107,593",Georgia State University Foundation,"4,500"
"107,294",Substance Abuse Task Force in Rural Appalachia (SATIRA),"32,109"
"107,251","Red Ribbon Week of Orange County, CA","7,165"
"107,225",Hamtramck Community Initiative - D.E.F.Y. Camp,"1,250"
"107,184",D.A.R.E Program (Paid to Tee's Plus for shirts,"1,148"
"107,049",Merced Rescue Mission,"30,000"
"107,048",Chester Town Treasurer,"16,597"
"107,048",International Outlaw Motorcycle Gang,"5,490"
"107,048",ST. Albans City Treasurer,"1,243"
"107,048",Wilmington Town Treasurer,"1,105"
"107,048",Winooski City Treasurer,"22,896"
"106,997",Nowlan Studios,552
"106,956",Apartment Managers Association,500
"106,956",Student Awards for CDS Awareness,"2,500"
"106,954",VERITAS Drug Treatment Program;  Lifeline Counseling Services,"4,420"
"106,950",GRASPP-United Way- Gang Violence Prevention,"6,019"
"106,947","Norfolk School Partnership Peer Leadership Conference, Child Abuse Prevention Brochure; mental health diversion services; Safe Prom Grants; hate crime prevention program support.","32,363"
"106,943",Orange County Crime Solvers,500
"106,942","Southwest Key Program, Inc.",250
"106,941",120 Precinct Community Council,"1,000"
"106,941",120 Precinct Community Council,"1,500"
"106,941",120 Precinct Community Council,"2,834"
"106,941",College of Staten Island Foundation,"7,000"
"106,941",Staten Island Children's Campaign,"25,000"
"106,941",Staten Island YMCA Counseling Services,"20,000"
"106,941",United Activities Unlimited,"25,000"
"106,941",Venture Crew,288
"106,896",Anti-Drug Program,176
"106,893", Aiea High School Student Teacher Parent  Council,"2,000"
"106,893",Family and Friends of Castle,"2,000"
"106,893","Fountains of the Living Water Christian Mission, Inc. (for Radford High School)  ","1,328"
"106,893",Friends for Waialua Town (for Waialua High School),720
"106,893",Friends of Kailua High School,"1,224"
"106,893",Friends of Kaiser Parent Teacher Student Association,"2,000"
"106,893",Hanalani School,"1,637"
"106,893",Hawaiian Mission Academy,937
"106,893",Iolani School,840
"106,893",Kalaheo High School Parent Teacher Student Association,"2,000"
"106,893",Kalani High School Association,"2,000"
"106,893",Kamehameha Schools,"2,000"
"106,893","Le Jardin d'Enfants, Inc.",621
"106,893",Lutheran High School of Hawaii,728
"106,893",Maryknoll School,"1,765"
"106,893",Moanalua High School Parent Teacher Student Association,"2,000"
"106,893",Pearl City High School Parent Teacher Student Association,"2,445"
"106,893",Sacred Hearts Academy,"2,000"
"106,893",Saint Louis School,"2,000"
"106,893",St. Andrew's Priory School,"1,518"
"106,893",St. Francis High School,606
"106,893",The Roosevelt Alumni Association,"2,000"
"106,893",Waipahu Community Association (for Waipahu High School),"1,885"
"106,893",Word of Life Christian Center,"2,027"
"106,854",Lafourche Parish Drug Court and Dare Program,"6,165"
"106,799",#740 Better Family Life,"27,398"
"106,799",#746 Weed & Seed-Cost Exec. Dir. Cost Reimburse,"36,788"
"106,799",#792 Weed & Seed,"24,388"
"106,799",#800 Crimestoppers,"27,963"
"106,777",Regional Citizens Academy (1796.98),"1,797"
"106,732",NICE CALL Focus III Recorder Communications Technologies Inc/Labor Set up,"14,232"
"106,695",child advocacy centers,"12,136"
"106,693",Drug Treatment Program,"2,252"
"106,568","Greater New York Councils, Exploring Program","6,160"
"106,539",Housing Authority - Summer Youth Programs - Gang Awareness / Education,"2,000"
"106,539","PHASAC (Public Housing Authority State Ath. Conf.) - Gang Awareness/Safety","5,000"
"106,538",Greater Grand Rapids Chamber Foundation - Silent Observer,"5,000"
"106,451","Child Advocacy Center, 2 Wellman Ave, Suite 140, Nashua, NH  ","10,000"
"106,451","Youth Council, 112 West Pearl Street, Nashua, NH","10,000"
"106,406",Anaheim PD Community services / APAL - DARE Programs,"21,915"
"106,367","Coalition of Neighborhood Council - Program support for non-profit organization serving at-risk youths by providing educational , job readiness training and counseling.  Payment for implementation of Social Branding Campaign to prevent youth violence and gang involvement.","27,692"
"106,367","Housing Opportunities Collaborative -Payment for costs to produce an educational video regarding real estate and forclosure fraud and equipment for on-going presentations.  Costs of DVD Production, equipment & software, portable projector & screen.","17,500"
"106,365",Partnership for a Drug-Free America ,"10,000"
"106,340",Ohio Troopers Coalition,"69,490"
"106,319",Effective Alternative in Reconciliation Services,"35,356"
"106,279",DARE Program speaker,80
"106,057",Carroll Co. Family Connection,"6,000"
"106,057",Carroll Co. Juvenile Drug Court,"5,000"
"106,057",Don's Heating & Air/Teen Challenge,"1,530"
"106,041","K-9 Officer expenses, juvenile crime prevention, school Resource Officer Supplies, Motorcycle program,  neighborhood bike patrol program.","36,675"
"106,038","Northside Resource Ctr. , Smartstart, RS & TC Jervay Foundation, Dom. Violence Ctr., Cape Fear Optimist, Boys & Girls Club of Eastern NC, Camp New Life, Cape Fear Area Resource Ctr., Yahweh Ctr., Partnership for Fatherhood, Snipes Academy of Art & Design","19,100"
"106,038","Wilmington 49ers, Creekwood South, Civil Air Patrol Cadets, Wilmington Residential Adolescence, St. Phillip African Meth-youth Summer trip, Boy Scouts of America ,Word Changing Hearts,  Wilmington First Church of Nazarene,  Apostolic Tabernacle , Community Boys and Girls Club, Wilmington Carenet Counseling , Trinity Children's Program ","33,000"
"106,021",public awareness,112
"106,009", Drug Abuse Resistance Education Program (DARE),"3,747"
"105,986",Positive Action Against Chemical Addiction (PAACA),"1,000"
"105,901","""Fresh Life Lines for Youth"" (FLY) - Youth Services Intervention","15,000"
"105,883",Police Athletic League (PAL),"5,342"
"105,820","Care Fresno, Biola, youth activity sports gear","1,651"
"105,820","Care Fresno, Del Rey, youth activity sports gear","1,974"
"105,779",National Law Enforcement Officers Memorial Fund,"7,000"
"105,772",Imperial County Explorer's Post,"1,250"
"105,772",Imperial County Sheriff's Athletic League,"1,942"
"105,706",McLean County Grade School,"1,124"
"105,673",El Centro Police Athletic League,"20,000"
"105,665",POLICE ACTIVITY LEAGUE OF WATERBURY ,"37,464"
"105,614",Portsmouth Drug Treatment Court,"5,000"
"105,546",Walk Against Drugs - T-shirts,"6,535"
"105,333",CrimeStoppers,"5,000"
"105,001",Commonwealth's Attorney's Office,"13,428"
"104,933","Elizabeth Police Block-Watch Groups, Crime Prevention Programs, and DARE expenses","15,105"
"104,895",POLICE CHAPLAIN,100
"104,527","Citizens Police Academy, P.A.C.T. Camp, Neighborhood Watch Programs",665
"104,387","D.A.R.E. Program, administered by Lansing Police Department","2,570"
"104,359",Crime Free Multi Housing Tracking Software,"1,595"
"104,310",Membership South Suburban Youth services Alliance,50
"103,615",DONATION TO BARTON COUNTY DRUG COURT,"4,000"
"103,305",DARE Westerville,"12,583"
"102,853",Lamar County Activity Center,"1,000"
"102,853",Lamar County Comprehensive High School,400
"102,853",Lamar County Parks & Recreation,250
"102,853",PRCA Rodeo,500
"102,853","TMP, Inc.",200
"102,853",WBAF Radio,40
"102,784",RDJ,"12,040"
"102,599",Autism Society of Boulder County,"1,500"
"102,599",Boulder County Restorative Justice Collaboration,500
"102,599",Boulder Homeless Shelter,"1,000"
"102,599",Boulder Valley School Thrive Program,"5,000"
"102,599",Boulder/Fairview After Prom,"5,500"
"102,599","Family Learning Center $5,000","5,000"
"102,580","Laplaza c/o Marion County Prosecutors Office, Community Prosecution Division, crime prevention program; Community Development Law Center, a 501(c)(3) organization providing legal services for 501 (c)(3) neighborhood community organizations in support of the Byrne TVCI Indianapolis grant 2007-DD-BX-0641","3,500"
"102,398",Cavalier Trail Leasing,"5,900"
"102,398",Chow Down,345
"102,398",Complete Truck Services,237
"102,398",Cromwell and co.,900
"102,398",D.O. Summers,50
"102,398",Dawnco Heating and Cooling,"1,410"
"102,398",Donald Barr Co.,"1,000"
"102,398",Gioninos Pizza,62
"102,398",Hilton Garden Inn,171
"102,398",Michaels ,305
"102,398",Pronio Sports Inc.,210
"102,398",Signature Catering,764
"102,398",Signature Catering,999
"102,398",Super 8 Motel,96
"102,398",T. Wain,480
"102,398",The Salvation Army,500
"102,398",United States Post Office,354
"102,340",Drug Abuse Resistance Education,"1,000"
"102,327","Beckum-Stapleton Little League, Inc.","1,862"
"102,327",Bountiful Baskets Thanksgiving Drive,"2,000"
"102,327",Milwaukee County Boys Scouts of America Explorer Post,"3,147"
"102,134",LEWIS COUNTY DEPT OF ENVIRONMENTAL CONSERVATION (DECOYS),250
"102,134",LEWIS COUNTY DRUG COURT,750
"102,134",LEWIS COUNTY RECOVERY CENTER,"1,850"
"102,062",Boys & Girls Club of Larimer County,"1,000"
"102,062",Food Bank of Larimer County Contribution,500
"102,062","Health District of Northern Larimer County, Mental Health Program Contribution",500
"102,062",Larimer County Child Advocacy Center Donation,"4,000"
"102,062",Poudre School District After Prom Sponsorship for 4 Sr. High Schools,"2,400"
"102,062",Poudre School District Young Women's Journey Conference Contribution,500
